Name,date,telescope,Technology,mean_freq,resolution,S-min,sourceCount,area,bandwidth
WENSS+WISH,1997,WSRT,synth,325,54,18,303570,16136,1
FIRST,1998,VLA,synth,1400,6,1,816331,10507,1
NVSS,1998,VLA,synth,1400,45,2.5,1773484,33818,1
SUMSS,1999,MOST,cylinder,843,42,6,211063,10318,1
VLSS,2007,VLA,synth,74,75,500,92964,30215,1
GLEAM,2016,MWA,MPA,151,120,30,360000,30954,159
TGSS,2016,GMRT,synth,147,25,12,623605,37101.2,16.7
LoTSS,2017,LOFAR,synth,144,0.1,0.5,10000000,20636,48
EMU,2018,ASKAP,PAF,1250,10,0.05,70000000,30000,288
VLASS,2018,VLA,synth,3000,2.5,0.35,10000000,33900,2000
LoLSS,2021,LOFAR,synth,54,0.25,5,701624,20636,24
LoDeS,2022,LOFAR,synth,22,0.5,20,500000,20636,16
GLEAM-X,2022,MWA,synth,151,60,5,1500000,30954,159
#MRT,2007,Mauritius,synth,151,260,1300,2784,23968,1
#AT20G,2010,ATCA,other,20000,10,200,5890,20684.7,1
